"Gen_sp","Habitat","Plot","Flower_density","Flower_species","Start_time","Finish_time","Date","Site","Round","Highest_temp","Lowest_temperature"
"Bombus_pascuorum","Semi_natural_grasslands",6,"61%_plus","Carduus_crispus","13:40","14:10","12/07/2014","Angeby",1,22,8
"Bombus_terrestris","Semi_natural_grasslands",6,"61%_plus","Filipendula_ulmaria","13:40","14:10","12/07/2014","Angeby",1,22,8
"Bombus_terrestris","Semi_natural_grasslands",6,"61%_plus","Filipendula_ulmaria","13:40","14:10","12/07/2014","Angeby",1,22,8
"Bombus_pascuorum","Semi_natural_grasslands",6,"61%_plus","Lathyrus_pratensis","13:40","14:10","12/07/2014","Angeby",1,22,8
"Bombus_pascuorum","Forest",7,"1-5%","Trifolium_pratense","14:20","14:50","12/07/2014","Angeby",1,22,8
"Bombus_pascuorum","Forest",7,"1-5%","Trifolium_pratense","14:20","14:50","12/07/2014","Angeby",1,22,8
"Bombus_pratorum","Forest",7,"1-5%","Trifolium_repens","14:20","14:50","12/07/2014","Angeby",1,22,8
"Bombus_pratorum","Forest",7,"1-5%","Trifolium_repens","14:20","14:50","12/07/2014","Angeby",1,22,8
"Bombus_pratorum","Forest",7,"1-5%","Trifolium_repens","14:20","14:50","12/07/2014","Angeby",1,22,8
"Bombus_pratorum","Forest",8,"6-10%","Trifolium_medium","15:10","15:40","12/07/2014","Angeby",1,22,8
"Bombus_pascuorum","Forest",8,"6-10%","Trifolium_medium","15:10","15:40","12/07/2014","Angeby",1,22,8
"Bombus_pascuorum","Forest",8,"6-10%","Trifolium_medium","15:10","15:40","12/07/2014","Angeby",1,22,8
"Bombus_pascuorum","Forest",8,"6-10%","Trifolium_pratense","15:10","15:40","12/07/2014","Angeby",1,22,8
"Bombus_pascuorum","Forest",8,"6-10%","Trifolium_pratense","15:10","15:40","12/07/2014","Angeby",1,22,8
"Bombus_pascuorum","Forest",8,"6-10%","Trifolium_pratense","15:10","15:40","12/07/2014","Angeby",1,22,8
"Bombus_pascuorum","Forest",8,"6-10%","Prunella_vulgaris","15:10","15:40","12/07/2014","Angeby",1,22,8
"Bombus_pascuorum","Forest",8,"6-10%","Prunella_vulgaris","15:10","15:40","12/07/2014","Angeby",1,22,8
"Bombus_pascuorum","Forest",8,"6-10%","Prunella_vulgaris","15:10","15:40","12/07/2014","Angeby",1,22,8
"Bombus_pascuorum","Forest",8,"6-10%","Prunella_vulgaris","15:10","15:40","12/07/2014","Angeby",1,22,8
"Bombus_bohemicus","Forest",8,"6-10%","Prunella_vulgaris","15:10","15:40","12/07/2014","Angeby",1,22,8
"Bombus_pascuorum","Forest",8,"6-10%","Trifolium_repens","15:10","15:40","12/07/2014","Angeby",1,22,8
"Bombus_pascuorum","Forest",8,"6-10%","Trifolium_repens","15:10","15:40","12/07/2014","Angeby",1,22,8
"Bombus_pascuorum","Forest_grassland_boundary",9,"1-5%","Trifolium_pratense","15:55","16:40","12/07/2014","Angeby",1,22,8
"Bombus_pascuorum","Forest_grassland_boundary",9,"1-5%","Trifolium_pratense","15:55","16:40","12/07/2014","Angeby",1,22,8
"Bombus_pascuorum","Forest_grassland_boundary",9,"1-5%","Trifolium_pratense","15:55","16:40","12/07/2014","Angeby",1,22,8
"Bombus_pascuorum","Forest_grassland_boundary",9,"1-5%","Trifolium_pratense","15:55","16:40","12/07/2014","Angeby",1,22,8
"Bombus_pascuorum","Forest_grassland_boundary",9,"1-5%","Trifolium_pratense","15:55","16:40","12/07/2014","Angeby",1,22,8
"Bombus_pascuorum","Forest_grassland_boundary",9,"1-5%","Trifolium_pratense","15:55","16:40","12/07/2014","Angeby",1,22,8
"Bombus_pascuorum","Forest_grassland_boundary",9,"1-5%","Trifolium_pratense","15:55","16:40","12/07/2014","Angeby",1,22,8
"Bombus_pascuorum","Forest_grassland_boundary",9,"1-5%","Trifolium_pratense","15:55","16:40","12/07/2014","Angeby",1,22,8
"Bombus_pascuorum","Forest_grassland_boundary",9,"1-5%","Trifolium_pratense","15:55","16:40","12/07/2014","Angeby",1,22,8
"Bombus_hortorum","Forest_grassland_boundary",9,"1-5%","Trifolium_pratense","15:55","16:40","12/07/2014","Angeby",1,22,8
"Bombus_quadricolor","Forest_grassland_boundary",9,"1-5%","Trifolium_pratense","15:55","16:40","12/07/2014","Angeby",1,22,8
"Bombus_ruderarius","Forest_grassland_boundary",9,"1-5%","Trifolium_pratense","15:55","16:40","12/07/2014","Angeby",1,22,8
"Bombus_pascuorum","Maintained_roadside",6,"61%_plus","Trifolium_pratense","10:50","11:20","15/07/2014","Gavsta",1,24,14
"Bombus_sylvarum","Maintained_roadside",6,"61%_plus","Trifolium_pratense","10:50","11:20","15/07/2014","Gavsta",1,24,14
"Bombus_sylvarum","Maintained_roadside",6,"61%_plus","Trifolium_pratense","10:50","11:20","15/07/2014","Gavsta",1,24,14
"Bombus_terrestris","Maintained_roadside",6,"61%_plus","Trifolium_pratense","10:50","11:20","15/07/2014","Gavsta",1,24,14
"Bombus_terrestris","Maintained_roadside",6,"61%_plus","Trifolium_pratense","10:50","11:20","15/07/2014","Gavsta",1,24,14
"Bombus_ruderarius","Maintained_roadside",6,"61%_plus","Trifolium_pratense","10:50","11:20","15/07/2014","Gavsta",1,24,14
"Bombus_spp","Maintained_roadside",6,"61%_plus","Lathyrus_pratensis","10:50","11:20","15/07/2014","Gavsta",1,24,14
"Bombus_spp","Maintained_roadside",6,"61%_plus","Lathyrus_pratensis","10:50","11:20","15/07/2014","Gavsta",1,24,14
"Bombus_terrestris","Maintained_roadside",6,"61%_plus","Centaurea_cyanus","10:50","11:20","15/07/2014","Gavsta",1,24,14
"Bombus_hortorum","Maintained_roadside",7,"61%_plus","Trifolium_pratense","11:30","13:10","15/07/2014","Gavsta",1,24,14
"Bombus_spp","Maintained_roadside",7,"61%_plus","Trifolium_pratense","11:30","13:10","15/07/2014","Gavsta",1,24,14
"Bombus_spp","Maintained_roadside",7,"61%_plus","Trifolium_pratense","11:30","13:10","15/07/2014","Gavsta",1,24,14
"Bombus_spp","Maintained_roadside",7,"61%_plus","Trifolium_pratense","11:30","13:10","15/07/2014","Gavsta",1,24,14
"Bombus_spp","Maintained_roadside",7,"61%_plus","Trifolium_pratense","11:30","13:10","15/07/2014","Gavsta",1,24,14
"Bombus_pascuorum","Maintained_roadside",7,"61%_plus","Trifolium_pratense","11:30","13:10","15/07/2014","Gavsta",1,24,14
"Bombus_pascuorum","Maintained_roadside",7,"61%_plus","Trifolium_pratense","11:30","13:10","15/07/2014","Gavsta",1,24,14
"Bombus_pascuorum","Maintained_roadside",7,"61%_plus","Trifolium_pratense","11:30","13:10","15/07/2014","Gavsta",1,24,14
"Bombus_pascuorum","Maintained_roadside",7,"61%_plus","Trifolium_pratense","11:30","13:10","15/07/2014","Gavsta",1,24,14
"Bombus_pascuorum","Maintained_roadside",7,"61%_plus","Trifolium_pratense","11:30","13:10","15/07/2014","Gavsta",1,24,14
"Bombus_pascuorum","Maintained_roadside",7,"61%_plus","Trifolium_pratense","11:30","13:10","15/07/2014","Gavsta",1,24,14
"Bombus_subterraneus","Maintained_roadside",7,"61%_plus","Trifolium_pratense","11:30","13:10","15/07/2014","Gavsta",1,24,14
"Bombus_sylvarum","Maintained_roadside",7,"61%_plus","Trifolium_pratense","11:30","13:10","15/07/2014","Gavsta",1,24,14
"Bombus_hortorum","Maintained_roadside",7,"61%_plus","Trifolium_pratense","11:30","13:10","15/07/2014","Gavsta",1,24,14
"Bombus_terrestris","Maintained_roadside",7,"61%_plus","Trifolium_pratense","11:30","13:10","15/07/2014","Gavsta",1,24,14
"Bombus_soroeensis","Maintained_roadside",7,"61%_plus","Trifolium_pratense","11:30","13:10","15/07/2014","Gavsta",1,24,14
"Bombus_subterraneus","Maintained_roadside",7,"61%_plus","Trifolium_pratense","11:30","13:10","15/07/2014","Gavsta",1,24,14
"Bombus_ruderarius","Maintained_roadside",7,"61%_plus","Trifolium_pratense","11:30","13:10","15/07/2014","Gavsta",1,24,14
"Bombus_ruderarius","Maintained_roadside",7,"61%_plus","Trifolium_pratense","11:30","13:10","15/07/2014","Gavsta",1,24,14
"Bombus_ruderarius","Maintained_roadside",7,"61%_plus","Trifolium_pratense","11:30","13:10","15/07/2014","Gavsta",1,24,14
"Bombus_pratorum","Corridor",5,"61%_plus","Filipendula_ulmaria","14:05","14:30","15/07/2014","Gavsta",1,24,14
